"country","year","month","total_spent"
"GBR",2017,3,176778.86
"GBR",2017,4,267616.1
"GBR",2017,5,406594.48
"GBR",2017,6,466335.21
"GBR",2017,7,450065.85
"GBR",2017,8,414119.63
"GNB",2016,2,1176.04
"GNB",2016,3,3476.85
"GNB",2017,2,523.6
"GTM",2017,1,372
"GTM",2017,5,114
"GUY",2016,10,360
"HRV",2015,7,402
"HRV",2015,8,604.02
"HRV",2015,9,850
"HRV",2015,10,875.1
"HRV",2015,11,756
"HRV",2016,1,498
"HRV",2016,2,1220.2
"HRV",2016,3,1940.34
"HRV",2016,4,1588.2
"HRV",2016,5,3703.22
"HRV",2016,6,1700.99
"HRV",2016,8,2694.35
"HRV",2016,9,580.92
"HRV",2016,10,1244.72
"HRV",2016,11,3289.42
"HRV",2016,12,1126.48
"HRV",2017,1,1935.3
"HRV",2017,2,1619.6
"HRV",2017,3,587.4
"HRV",2017,4,1623.54
"HRV",2017,5,4734.1
"HRV",2017,6,7603.71
"HRV",2017,7,1303
"HRV",2017,8,952.4
"IND",2015,8,452
"IND",2015,9,1553.61
"IND",2015,10,463.52
"IND",2015,11,1916.9
"IND",2015,12,36.45
"IND",2016,1,479.35
"IND",2016,2,651.8
"IND",2016,3,765.6
"IND",2016,4,2864.43
"IND",2016,5,4765.4
"IND",2016,6,1795.85
"IND",2016,7,3546.59
"IND",2016,8,362.38
"IND",2016,9,1416.85
"IND",2016,10,3590
"IND",2016,11,7937.06
"IND",2016,12,1942.39
"IND",2017,1,654.4
"IND",2017,2,1214.56
"IND",2017,3,905.2
"IND",2017,4,4869.77
"IND",2017,5,4122.7
"IND",2017,6,4130.01
"IND",2017,7,2898
"IND",2017,8,710
"IRL",2015,7,49813.59
"IRL",2015,8,58405.91
"IRL",2015,9,68511.01
"IRL",2015,10,39955.91
"IRL",2015,11,4213.17
"IRL",2015,12,13217.95
"IRL",2016,1,6173.07
"IRL",2016,2,10680.04
"IRL",2016,3,19186.84
"IRL",2016,4,50164.67
"IRL",2016,5,90880.97
"IRL",2016,6,80648.34
"IRL",2016,7,94687.51
"IRL",2016,8,80964.84
"IRL",2016,9,98777.99
"IRL",2016,10,91935.65
"IRL",2016,11,26362.4
"IRL",2016,12,16209.02
"IRL",2017,1,17145.96
"IRL",2017,2,22222.63
"IRL",2017,3,50071.22
"IRL",2017,4,75247.1
"IRL",2017,5,145972.1
"IRL",2017,6,190040
"IRL",2017,7,136955.12
"IRL",2017,8,113656.96
"IRQ",2015,10,1078
"IRQ",2015,11,877
"IRQ",2015,12,190
"IRQ",2016,1,1290
"IRQ",2016,9,510
"IRQ",2017,2,588
"IRQ",2017,5,324
"ISL",2016,4,5480
"ISL",2016,7,878.4
"ISL",2016,9,1698.5
"ISL",2016,11,150
"ISL",2017,1,1083.93
"ISL",2017,2,1451.43
"ISL",2017,4,11320
"ISL",2017,5,885
"ISL",2017,6,927.01
"ISL",2017,7,2042.6
"ISL",2017,8,1264.02
"ISR",2015,7,1167.4
"ISR",2015,8,5630.96
"ISR",2015,9,3590.2
"ISR",2015,10,21481.52
"ISR",2015,11,1984.85
"ISR",2016,1,1177.6
"ISR",2016,2,364
"ISR",2016,3,3099.74
"ISR",2016,4,5283.64
"ISR",2016,5,7271.97
"ISR",2016,6,6765.55
"ISR",2016,7,6345.8
"ISR",2016,8,14105.8
"ISR",2016,9,8779.17
"ISR",2016,10,15400.48
"ISR",2016,11,6387.31
"ISR",2016,12,1507.31
"ISR",2017,1,395.2
"ISR",2017,2,3303.78
"ISR",2017,3,15154.2
"ISR",2017,4,23619.75
"ISR",2017,5,6306.23
"ISR",2017,6,14029.81
"ISR",2017,7,9848.8
"ISR",2017,8,10232.2
"JAM",2016,2,347.97
"JAM",2016,5,805
"JAM",2016,6,412.2
"JAM",2017,2,352
"JAM",2017,4,763
"JOR",2015,11,1740
"JOR",2016,1,213
"JOR",2016,2,66.57
"JOR",2016,3,96
"JOR",2016,4,89
"JOR",2016,9,250.2
"JOR",2016,10,441.99
"JOR",2017,2,156
"JOR",2017,6,101.7
"JOR",2017,7,2459.1
"JOR",2017,8,355.5
"JPN",2015,9,3232.46
"JPN",2015,10,4533.25
"JPN",2015,11,450.39
"JPN",2015,12,1869.4
"JPN",2016,1,826.51
"JPN",2016,2,1992.9
"JPN",2016,3,3655.96
"JPN",2016,4,640.8
"JPN",2016,5,1699
"JPN",2016,6,3183.54
"JPN",2016,7,3751.89
"JPN",2016,8,2544.6
"JPN",2016,9,3052.33
"JPN",2016,10,5647.36
"JPN",2016,11,2419.28
"JPN",2016,12,3918.7
"JPN",2017,1,1390.2
"JPN",2017,2,3055.24
"JPN",2017,3,1234.4
"JPN",2017,4,1449
"JPN",2017,5,2216.6
"JPN",2017,6,2970.55
"JPN",2017,7,2324.59
"JPN",2017,8,13720.65
"KIR",2017,6,432
"KNA",2015,11,140
"KNA",2017,7,228.8
"LAO",2017,8,909.99
"LBY",2016,2,758
"LBY",2016,3,269
"LBY",2017,7,510
"LCA",2016,10,403.75
"LKA",2015,11,375
"LKA",2015,12,99.9
"LKA",2016,2,279
"LKA",2017,3,882
"LKA",2017,4,1547
"LTU",2015,9,3143
"LTU",2015,10,1111.34
"LTU",2015,11,589.5
"LTU",2015,12,989.81
"LTU",2016,1,95
"LTU",2016,2,323.64
"LTU",2016,3,566.1
"LTU",2016,4,578.3
"LTU",2016,5,584
"LTU",2016,6,916.5
"LTU",2016,7,1474
"LTU",2016,8,3097.02
"LTU",2016,9,6243.23
"LTU",2016,10,2184.38
"LTU",2016,11,2318.67
"LTU",2016,12,610.05
"LTU",2017,1,1317.5
"LTU",2017,2,346.8
"LTU",2017,3,239.36
"LTU",2017,4,3286.01
"LTU",2017,5,874.02
"LTU",2017,6,1537
"LTU",2017,7,6974.15
"LTU",2017,8,973.2
"LVA",2015,8,194
"LVA",2015,9,4627.51
"LVA",2015,10,934.5
"LVA",2016,1,140
"LVA",2016,4,1536.8
"LVA",2016,7,1540.35
"LVA",2016,9,1653.09
"LVA",2016,10,378
"LVA",2016,11,2107.84
"LVA",2016,12,827.35
"LVA",2017,2,888.44
"LVA",2017,3,1145.19
"LVA",2017,4,1163
"LVA",2017,5,689.5
"LVA",2017,6,1428
"LVA",2017,7,1130
"LVA",2017,8,2079
"MCO",2016,2,91
"MCO",2016,4,414.8
"MCO",2017,2,446.12
"MDG",2017,1,44
"MEX",2015,8,2008.28
"MEX",2015,9,828.01
"MEX",2015,10,258.12
"MEX",2015,11,1516.99
"MEX",2015,12,689.4
"MEX",2016,1,610.8
"MEX",2016,2,175.2
"MEX",2016,3,1291.66
"MEX",2016,4,208.47
"MEX",2016,5,2281
"MEX",2016,6,549.9
"MEX",2016,7,1253.7
"MEX",2016,8,431.1
"MEX",2016,9,1725.8
"MEX",2016,10,454
"MEX",2016,11,1648.96
"MEX",2016,12,1246.56
"MEX",2017,1,628.75
"MEX",2017,3,241
"MEX",2017,4,297
"MEX",2017,5,2419.2
"MEX",2017,6,983.99
"MEX",2017,7,1846
"MEX",2017,8,1559
"MKD",2015,10,870
"MKD",2016,10,822.8
"MKD",2016,11,1575
"MLI",2016,4,89
"MMR",2015,10,290
"MRT",2017,4,585.9
"MUS",2015,12,162
"MUS",2016,2,749.91
"MUS",2016,8,855
"MUS",2017,2,365.6
"MUS",2017,3,291.6
"MWI",2016,11,252
"MYS",2015,10,845.86
"MYS",2015,11,435
"MYS",2016,1,201.6
"MYS",2016,2,408.36
"MYS",2016,4,225
"MYS",2016,5,925.53
"MYS",2016,9,767.68
"MYS",2016,10,400.05
"MYS",2016,11,680.6
"MYS",2016,12,1012.9
"MYS",2017,1,237.58
"MYS",2017,3,196
"MYS",2017,8,526.5
"NAM",2016,4,486.44
"NCL",2017,5,702
"NLD",2015,7,10492
"NLD",2015,8,14632.05
"NLD",2015,9,21138.44
"NLD",2015,10,20025.8
"NLD",2015,11,7189.09
"NLD",2015,12,4425.51
"NLD",2016,1,4803.8
"NLD",2016,2,19036.48
"NLD",2016,3,20652.08
"NLD",2016,4,43008.35
"NLD",2016,5,35552.97
"NLD",2016,6,41349.38
"NLD",2016,7,43944.73
"NLD",2016,8,56577.29
"NLD",2016,9,40511.8
"NLD",2016,10,43087.36
"NLD",2016,11,33534.31
"NLD",2016,12,18406.13
"NLD",2017,1,20917.05
"NLD",2017,2,26116.7
"NLD",2017,3,43863.3
"NLD",2017,4,49016.36
"NLD",2017,5,44358.58
"NLD",2017,6,45785.98
"NLD",2017,7,46370.46
"NLD",2017,8,45240.95
"NPL",2017,4,255
"NULL",2015,7,5451.46
"NULL",2015,8,18091.43
"NULL",2015,9,11090.52
"NULL",2015,10,4968.3
"NULL",2015,11,1124
"NULL",2015,12,1183.53
"NULL",2016,1,1788
"NULL",2016,2,1936.01
"NULL",2016,3,2678.11
"NULL",2016,4,1878.6
"NULL",2016,5,1484
"NULL",2016,6,1787
"NULL",2016,7,17160.6
"NULL",2016,8,8190.18
"NULL",2016,9,6118.36
"NULL",2016,10,3279.76
"NULL",2016,11,2375.91
"NULL",2016,12,4417.42
"NULL",2017,1,1858
"NULL",2017,2,1798
"NULL",2017,3,1166
"NULL",2017,4,2862.36
"NZL",2015,7,154
"NZL",2015,8,1076.46
"NZL",2015,9,759
"NZL",2015,10,365.4
"NZL",2015,11,631
"NZL",2016,2,246.5
"NZL",2016,3,1206.69
"NZL",2016,4,796.32
"NZL",2016,5,1538
"NZL",2016,6,2896.55
"NZL",2016,7,1405.6
"NZL",2016,8,744.11
"NZL",2016,9,1027.26
"NZL",2016,10,380.7
"NZL",2016,11,518
"NZL",2017,1,158.4
"NZL",2017,3,348
"NZL",2017,4,2356
"NZL",2017,5,1886.02
"NZL",2017,6,1715.1
"NZL",2017,7,481.11
"NZL",2017,8,463.6
"OMN",2015,7,1549.8
"OMN",2015,9,952
"OMN",2015,10,237.16
"OMN",2016,1,1157
"OMN",2016,2,144
"OMN",2016,4,906
"OMN",2016,5,288
"OMN",2016,6,285
"OMN",2016,10,212
"OMN",2016,12,189
"OMN",2017,4,214
"OMN",2017,6,460
"OMN",2017,8,867.36
"PAN",2015,11,596.7
"PAN",2016,2,140
"PAN",2016,11,576
"PAN",2017,1,2160
"PAN",2017,5,570
"PER",2015,11,840
"PER",2016,1,282.8
"PER",2016,3,509.49
"PER",2016,5,1036.28
"PER",2016,6,260
"PER",2016,9,774
"PER",2016,10,657
"PER",2016,11,1045.18
"PER",2017,1,300.32
"PER",2017,2,198
"PER",2017,3,830
"PER",2017,5,1230
"PER",2017,6,1400
"PLW",2016,7,954.03
"POL",2015,7,3295.66
"POL",2015,8,7663.2
"POL",2015,9,8339.08
"POL",2015,10,10639.88
"POL",2015,11,4001.64
"POL",2015,12,3005.54
"POL",2016,1,4892.36
"POL",2016,2,4255.09
"POL",2016,3,11471.41
"POL",2016,4,38764.34
"POL",2016,5,8900.48
"POL",2016,6,27728.98
"POL",2016,7,23501.63
"POL",2016,8,28916.62
"POL",2016,9,26272
"POL",2016,10,10373.8
"POL",2016,11,16423.37
"POL",2016,12,6019.33
"POL",2017,1,11427.67
"POL",2017,2,11398.5
"POL",2017,3,15334.9
"POL",2017,4,21584.66
"POL",2017,5,15703.7
"POL",2017,6,37111.02
"POL",2017,7,24453.91
"POL",2017,8,16305.24
"PRI",2015,9,150.92
"PRI",2015,10,58
"PRI",2016,5,78
"PRI",2016,6,174
"PRI",2016,7,168
"PRI",2016,8,250
"PRI",2016,9,116
"PRI",2016,12,888
"PRI",2017,6,240
"PRY",2016,6,226.8
"PRY",2017,4,216
"PRY",2017,6,140
"PRY",2017,8,89
"PYF",2016,9,432
"RWA",2016,2,664.5
"RWA",2016,10,300.24
"SDN",2017,6,297
"SLE",2017,7,850.01
"SLV",2016,7,137.7
"SLV",2017,8,320
"SMR",2015,9,264.6
"SRB",2015,9,953.75
"SRB",2015,10,1544.12
"SRB",2015,12,235.68
"SRB",2016,1,355
"SRB",2016,2,206.1
"SRB",2016,3,892
"SRB",2016,4,561.6
"SRB",2016,5,204
"SRB",2016,6,13436
"SRB",2016,8,508.65
"SRB",2016,10,1243.53
"SRB",2016,11,396
"SRB",2016,12,265.2
"SRB",2017,2,340
"SRB",2017,3,316.8
"SRB",2017,4,1842.57
"SRB",2017,5,2791.6
"SRB",2017,6,1552
"SRB",2017,7,1123.01
"STP",2015,8,124
"STP",2017,5,220
"SUR",2016,2,294
"SUR",2016,9,240
"SUR",2016,10,224
"SUR",2017,4,297
"SUR",2017,5,924
"SWE",2015,7,7032.48
"SWE",2015,8,1617.61
"SWE",2015,9,17733.53
"SWE",2015,10,9141.67
"SWE",2015,11,2310.35
"SWE",2015,12,1557
"SWE",2016,1,1767.99
"SWE",2016,2,2355.12
"SWE",2016,3,10342.48
"SWE",2016,4,13622.88
"SWE",2016,5,9487.39
"SWE",2016,6,29478
"SWE",2016,7,30837.19
"SWE",2016,8,16490.06
"SWE",2016,9,16719.19
"SWE",2016,10,44095.24
"SWE",2016,11,13025.56
"SWE",2016,12,12228.01
"SWE",2017,1,6543.9
"SWE",2017,2,4044.57
"SWE",2017,3,10356.01
"SWE",2017,4,45934.67
"SWE",2017,5,27739.57
"SWE",2017,6,39015.01
"SWE",2017,7,52205.23
"SWE",2017,8,20790.59
"SYR",2016,3,108
"SYR",2017,2,208
"SYR",2017,4,548
"TGO",2017,2,416.5
"TGO",2017,6,1368
"UGA",2016,3,129
"UGA",2016,9,126
"USA",2015,7,5528.99
"USA",2015,8,11811.51
"USA",2015,9,22622.63
"USA",2015,10,10792.14
"USA",2015,11,3202.59
"USA",2015,12,4988.2
"USA",2016,1,4229.68
"USA",2016,2,4569.26
"USA",2016,3,23073.02
"USA",2016,4,20722.16
"USA",2016,5,26114.63
"USA",2016,6,34910.69
"USA",2016,7,40674.69
"USA",2016,8,34003.98
"USA",2016,9,36674.87
"USA",2016,10,31063.63
"USA",2016,11,27246.75
"USA",2016,12,22812
"USA",2017,1,15322.56
"USA",2017,2,10385.2
"USA",2017,3,18344.26
"USA",2017,4,35420.36
"USA",2017,5,53779
"USA",2017,6,59675.57
"USA",2017,7,59984
"USA",2017,8,90672.33
"VNM",2016,7,318
"VNM",2016,8,276
"VNM",2016,9,284.43
"VNM",2016,10,89.1
"VNM",2016,11,616
"VNM",2017,6,80.1
"VNM",2017,7,551.25
"VNM",2017,8,533.52
